Experiment: 20131025 C21 id1 pai1 smad7 snail  Selected Filter: SYBR Green I (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	24.70		0	
True	255	A2	Sample 2	24.64		0	
True	255	A3	Sample 3	24.74		0	
True	255	A4	Sample 4	27.44		0	
True	255	A5	Sample 5	27.52		0	
True	255	A6	Sample 6	27.49		0	
True	255	A7	Sample 7	25.94		0	
True	255	A8	Sample 8	25.84		0	
True	255	A9	Sample 9	25.94		0	
True	255	A10	Sample 10	24.55		0	
True	255	A11	Sample 11	24.54		0	
True	255	A12	Sample 12	24.60		0	
True	255	B1	Sample 13	25.30		0	
True	255	B2	Sample 14	25.25		0	
True	255	B3	Sample 15	25.43		0	
True	255	B4	Sample 16	19.76		0	
True	255	B5	Sample 17	19.69		0	
True	255	B6	Sample 18	19.29		0	
True	255	B7	Sample 19	23.80		0	
True	255	B8	Sample 20	23.28		0	
True	255	B9	Sample 21	23.77		0	
True	255	B10	Sample 22	22.09		0	
True	255	B11	Sample 23	21.87		0	
True	255	B12	Sample 24	22.10		0	
True	255	C1	Sample 25	22.30		0	
True	255	C2	Sample 26	22.19		0	
True	255	C3	Sample 27	22.30		0	
True	255	C4	Sample 28	24.90		0	
True	255	C5	Sample 29	24.87		0	
True	255	C6	Sample 30	24.79		0	
True	255	C7	Sample 31	25.89		0	
True	255	C8	Sample 32	25.18		0	
True	255	C9	Sample 33	25.10		0	
True	255	C10	Sample 34	23.59		0	
True	255	C11	Sample 35	23.48		0	
True	255	C12	Sample 36	23.59		0	
True	255	D1	Sample 37	23.46		0	
True	255	D2	Sample 38	23.31		0	
True	255	D3	Sample 39	23.43		0	
True	255	D4	Sample 40	19.87		0	
True	255	D5	Sample 41	19.86		0	
True	255	D6	Sample 42	19.73		0	
True	255	D7	Sample 43	23.42		0	
True	255	D8	Sample 44	23.26		0	
True	255	D9	Sample 45	23.64		0	
True	255	D10	Sample 46	21.89		0	
True	255	D11	Sample 47	21.72		0	
True	255	D12	Sample 48	21.86		0	
True	255	E1	Sample 49	40.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	E2	Sample 50	40.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	E3	Sample 51	40.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	65280	E4	Sample 52			0	
True	65280	E5	Sample 53			0	
True	65280	E6	Sample 54			0	
True	65280	E7	Sample 55			0	
True	65280	E8	Sample 56			0	
True	65280	E9	Sample 57			0	
True	65280	E10	Sample 58			0	
True	65280	E11	Sample 59			0	
True	65280	E12	Sample 60			0	
True	65280	F1	Sample 61			0	
True	65280	F2	Sample 62			0	
True	65280	F3	Sample 63			0	
True	65280	F4	Sample 64			0	
True	65280	F5	Sample 65			0	
True	65280	F6	Sample 66			0	
True	65280	F7	Sample 67			0	
True	65280	F8	Sample 68			0	
True	65280	F9	Sample 69			0	
True	65280	F10	Sample 70			0	
True	65280	F11	Sample 71			0	
True	65280	F12	Sample 72			0	
True	65280	G1	Sample 73			0	
True	65280	G2	Sample 74			0	
True	65280	G3	Sample 75			0	
True	65280	G4	Sample 76			0	
True	65280	G5	Sample 77			0	
True	65280	G6	Sample 78			0	
True	65280	G7	Sample 79			0	
True	65280	G8	Sample 80			0	
True	65280	G9	Sample 81			0	
True	65280	G10	Sample 82			0	
True	65280	G11	Sample 83			0	
True	65280	G12	Sample 84			0	
True	65280	H1	Sample 85			0	
True	65280	H2	Sample 86			0	
True	65280	H3	Sample 87			0	
True	65280	H4	Sample 88			0	
True	65280	H5	Sample 89			0	
True	65280	H6	Sample 90			0	
True	65280	H7	Sample 91			0	
True	65280	H8	Sample 92			0	
True	65280	H9	Sample 93			0	
True	65280	H10	Sample 94			0	
True	65280	H11	Sample 95			0	
True	65280	H12	Sample 96			0	
